SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
520021,OMAX AUTOS. ,T ,Q,146.00,146.80,144.30,144.75,144.75,140.05,61,9959,1446203.00,
520043,MUNJAL SHOWA,B ,Q,214.55,219.10,213.00,218.35,218.50,215.55,75,2613,564596.00,
520051,JAMNA AUTO  ,B ,Q,83.35,86.15,83.00,85.70,85.70,84.25,1891,338297,28678761.00,
520056,SUNDAR.CLAY ,B ,Q,4800.85,5050.00,4782.00,4834.20,4870.00,4875.00,43,110,534019.00,
520057,SONA KOYO ST,B ,Q,99.10,100.00,98.90,99.75,99.75,99.00,76,9172,909728.00,
520059,MUNAUTO     ,B ,Q,75.55,76.10,74.90,75.65,75.50,74.80,95,6527,492559.00,
520066,JAYBH.MARUTI,B ,Q,457.00,497.00,446.35,482.85,482.85,447.50,4506,109547,52704638.00,
520073,RACLGEAR    ,X ,Q,60.15,62.00,59.00,60.30,60.30,60.15,81,8242,500614.00,
520075,SAMKRG PIST.,X ,Q,284.85,297.45,281.35,290.95,290.95,283.45,86,5939,1704765.00,
520077,AMTEK AUTO  ,Z ,Q,20.10,21.40,20.00,20.60,20.70,20.70,321,141944,2921838.00,
520086,SICAL LOG   ,B ,Q,217.45,220.45,217.00,219.80,220.00,219.70,89,3194,699097.00,
520111,RATNAMNI MET,B ,Q,891.75,895.00,880.75,886.00,886.00,876.60,16,215,190308.00,
520113,VESUVIUS IND,B ,Q,1280.00,1400.00,1261.20,1330.90,1330.90,1280.60,70,2124,2765103.00,
520119,AUTOMOTIVE S,B ,Q,79.50,83.90,79.50,81.95,83.90,79.55,100,5185,421567.00,
520123,ABC INDIA   ,X ,Q,129.95,135.00,122.25,133.95,135.00,127.70,190,56087,7200887.00,
520127,BALURGHAT TE,XT,Q,3.70,3.88,3.70,3.88,3.88,3.70,7,3200,12380.00,
520139,JAGSON AIRLI,XT,Q,2.38,2.38,2.38,2.38,2.38,2.38,1,10,23.00,
520155,STARLOG     ,X ,Q,50.70,50.80,50.00,50.00,50.00,48.50,14,2536,126930.00,
521014,EUROTEX IND ,B ,Q,34.65,37.70,34.60,37.60,37.60,36.95,7,6001,217074.00,
521016,INDO COUNT  ,A ,Q,94.00,99.00,93.30,98.20,98.20,93.55,799,79422,7642316.00,
521018,MARAL OVERS ,B ,Q,34.00,34.60,32.85,34.15,34.35,33.65,82,13997,475322.00,
521030,NAKODA      ,T ,Q,0.32,0.32,0.32,0.32,0.32,0.31,2,13050,4176.00,
521034,SOMA TEXTILE,B ,Q,11.64,12.19,11.64,12.09,12.19,11.61,35,12331,148948.00,
521038,TAM.JAI.MILL,XT,Q,5.00,5.28,5.00,5.00,5.00,5.04,3,200,1000.00,
521064,TRIDENT     ,A ,Q,65.40,69.00,63.80,68.30,68.30,64.20,1577,207330,13874999.00,
521070,ALOK INDS.  ,T ,Q,3.28,3.28,3.28,3.28,3.28,3.13,130,477743,1566997.00,
521080,PASARI SPIN ,XT,Q,2.42,2.54,2.42,2.54,2.54,2.54,8,15191,38200.00,
521082,SPENTEX INDS,T ,Q,4.47,4.47,4.08,4.08,4.08,4.29,32,53929,221624.00,
521097,AMARJOTHI SP,X ,Q,130.25,140.00,130.00,137.20,137.20,129.95,183,11719,1592729.00,
521105,OLYMPIA IND.,XT,Q,108.15,108.15,105.00,106.00,106.00,106.05,14,1075,114987.00,
521109,NAGREEKA EXP,B ,Q,27.55,29.35,27.35,29.35,29.35,28.45,14,3078,85856.00,
521113,SUDITI IND. ,XT,Q,61.25,66.45,61.25,66.45,66.45,63.30,18,3180,209232.00,
521131,SBFL        ,X ,Q,9.55,9.55,9.55,9.55,9.55,9.50,3,1300,12415.00,
521141,ADITYA SPIN.,XT,Q,7.80,8.55,7.80,7.85,7.85,8.20,14,2497,19605.00,
521149,PRIME URBAN ,X ,Q,16.50,17.15,16.25,17.00,17.00,17.50,27,9663,163002.00,
521163,ZODIAC CLOTH,B ,Q,158.00,178.80,152.10,172.80,172.80,166.35,63,3128,526601.00,
521167,FRONT BUSS  ,X ,Q,9.25,9.25,8.54,8.74,9.09,8.98,19,891,7810.00,
521180,SUPER SPIN. ,B ,Q,12.80,12.92,12.25,12.92,12.92,12.31,37,19687,252593.00,
521182,SEASONS FUR.,XT,Q,8.30,8.30,8.30,8.30,8.30,8.10,1,50,415.00,
521194,SIL INVEST  ,B ,Q,376.00,379.10,371.10,379.10,379.10,361.05,19,1239,464927.00,
521200,SURYLAK.COTT,B ,Q,69.35,70.00,69.35,69.60,70.00,66.00,6,700,48705.00,
521206,SAMTEX FASH.,X ,Q,3.50,3.88,3.36,3.50,3.50,3.65,52,44585,156217.00,
521216,DHAN ROTO SP,XT,Q,47.25,49.60,47.25,49.60,49.60,47.25,9,686,33748.00,
521220,DAMOINDUS   ,B ,Q,136.35,136.35,132.00,133.40,133.40,134.75,26,818,109242.00,
